ParticipantName,TeamName,Position,ELO
Denis Genreau,Toulouse,MID,1463
Daler Kuzyaev,Le Havre,MID,1463
Christopher Wooh,Rennes,DEF,1461
John Patrick,Reims,MID,1461
Kassoum Ouattara,Monaco,DEF,1461
Gautier Larsonneur,St Etienne,GK,1461
Alexsandro Ribeiro,Lille,DEF,1461
Samuel Grandsir,Le Havre,MID,1461
Fabien Centonze,Nantes,MID,1461
Anthony Lopes,Nantes,GK,1461
Orel Mangala,Lyon,MID,1460
Rares Ilie,Nice,MID,1460
Steve Mandanda,Rennes,GK,1460
Mohamed Daramy,Reims,MID,1460
Wilfried Ndollo Bille,Montpellier,MID,1460
Fredrik Oppegård,Auxerre,MID,1460
Mamadou Coulibaly,Monaco,MID,1459
Marco Bizot,Brest,GK,1459
Marius Courcoul,Angers,MID,1459
Eliot Matazo,Monaco,MID,1459
Igor Miladinovic,St Etienne,MID,1459
Hiang'a Mbock,Brest,MID,1459
Naouirou Ahamada,Rennes,MID,1459
Issiaga Camara,Nice,MID,1459
Hamidou Makalou,Brest,MID,1459
Gabriel Barès,Montpellier,MID,1459
Alois Confais,Le Havre,MID,1459
Mitchel Bakker,Lille,ATT,1459
Mohamed Bamba,Reims,MID,1459
Ibrahim Mbaye,Paris Saint-Germain,ATT,1458
Valentin Barco,Strasbourg,MID,1458
Mousa Tamari,Montpellier,ATT,1458
Radoslaw Majecki,Monaco,GK,1458
Hugo Magnetti,Brest,MID,1457
Ismael Bennacer,Marseille,MID,1457
Steve Ngoura,Le Havre,ATT,1457
Hicham Boudaoui,Nice,MID,1456
Han-Noah Massengo,Auxerre,MID,1455
David Da Costa,Lens,ATT,1453
Théo Sainte-Luce,Montpellier,DEF,1451
Nikola Maksimovic,Montpellier,DEF,1451
Anthony Rouault,Rennes,DEF,1451
Jean-Kevin Duverne,Nantes,DEF,1451
Luck Zogbe,Brest,DEF,1451
Juma Bah,Lens,DEF,1451
Jordan Amavi,Brest,DEF,1451
Lucas Hernández,Paris Saint-Germain,DEF,1451
Amine Gouiri,Rennes,ATT,1451
Umit Akdag,Toulouse,DEF,1451
Pierre Cornud,St Etienne,DEF,1451
Mohamed Abdelmonem,Nice,DEF,1451
Yunis Abdelhamid,St Etienne,DEF,1451
Marwann N'Zuzi,St Etienne,DEF,1451
Ibrahima Wadji,St Etienne,ATT,1450
Augustine Boakye,St Etienne,ATT,1450
Rassoul Ndiaye,Le Havre,ATT,1450
Maxence Caqueret,Lyon,MID,1449
Jim Allevinah,Angers,ATT,1448
Jean-Eudes Aholou,Angers,MID,1448
Seko Fofana,Rennes,MID,1448
Leonardo Balerdi,Marseille,DEF,1448
Ismael Kone,Marseille,MID,1447
Arouna Sangante,Le Havre,DEF,1446
Mikayil Faye,Rennes,DEF,1446
Julien Le Cardinal,Brest,DEF,1446
Jordan Teze,Monaco,DEF,1446
Guillaume Restes,Toulouse,GK,1446
Khalil Fayad,Montpellier,MID,1445
Gabriel Moscardo,Reims,MID,1445
Emanuel Emegha,Strasbourg,ATT,1444
Eros Maddy,Auxerre,MID,1444
Rudy Matondo,Auxerre,MID,1444
Paul Akouokou,Lyon,MID,1444
Ange Loic N'Gatta,Auxerre,MID,1444
Karol Fila,Strasbourg,MID,1444
Wesley Said,Lens,ATT,1444
