ParticipantName,TeamName,Position,ELO
Kjell Wätjen,Borussia Dortmund,MID,1463
Timothy Chandler,Eintracht Frankfurt,MID,1463
Oliver Burke,SV Werder Bremen,ATT,1463
Jonas Urbig,Bayern München,GK,1463
Tiago Pereira Cardoso,Borussia Mönchengladbach,GK,1463
Erik Ahlstrand,FC St. Pauli,MID,1463
Fin Stevens,FC St. Pauli,MID,1463
Forzan Assan Ouedraogo,RB Leipzig,MID,1463
Grischa Prömel,TSG 1899 Hoffenheim,MID,1463
Salih Özcan,VfL Wolfsburg,MID,1463
Nediljko Labrovic,FC Augsburg,GK,1463
Carney Chukwuemeka,Borussia Dortmund,ATT,1462
Ivan Prtajin,1. FC Union Berlin,ATT,1462
Patrick Osterhage,Sport-Club Freiburg,MID,1462
Mahmoud Dahoud,Eintracht Frankfurt,MID,1462
André Silva,SV Werder Bremen,ATT,1461
Yannik Lührs,Borussia Dortmund,DEF,1460
Lennard Maloney,1. FC Heidenheim 1846,DEF,1460
Luca Jaquez,VfB Stuttgart,DEF,1460
Kevin Paredes,VfL Wolfsburg,MID,1460
Jérome Roussillon,1. FC Union Berlin,DEF,1460
Ivan Nekic,Holstein Kiel,DEF,1460
Mads Roerslev,VfL Wolfsburg,DEF,1460
Norman Theuerkauf,1. FC Heidenheim 1846,DEF,1460
Pascal Stenzel,VfB Stuttgart,DEF,1460
Hiroki Ito,Bayern München,DEF,1460
Mario Hermoso,Bayer 04 Leverkusen,DEF,1460
Finn Becker,TSG 1899 Hoffenheim,MID,1460
Hennes Behrens,TSG 1899 Hoffenheim,DEF,1460
Roland Sallai,Sport-Club Freiburg,DEF,1460
Mohamed Simakan,RB Leipzig,DEF,1460
Ridle Baku,VfL Wolfsburg,DEF,1460
Robin Hranac,TSG 1899 Hoffenheim,DEF,1460
David Odogu,VfL Wolfsburg,DEF,1460
Cedric Zesiger,VfL Wolfsburg,DEF,1460
Bruno Ogbus,Sport-Club Freiburg,DEF,1460
Adam Aznou,Bayern München,DEF,1460
Matus Bero,VfL Bochum 1848,MID,1459
Cedric Zesiger,FC Augsburg,DEF,1457
Luca Kerber,1. FC Heidenheim 1846,MID,1456
Milos Veljkovic,SV Werder Bremen,DEF,1455
Aliou Baldé,VfL Bochum 1848,ATT,1455
Eljif Elmas,RB Leipzig,ATT,1455
Erhan Masovic,VfL Bochum 1848,DEF,1455
Dani de Wit,VfL Bochum 1848,ATT,1455
David Preu,1. FC Union Berlin,ATT,1455
Kevin Volland,1. FC Union Berlin,ATT,1455
Abdoulie Ceesay,FC St. Pauli,ATT,1455
Yorbe Vertessen,1. FC Union Berlin,ATT,1455
Niels Nkounkou,Eintracht Frankfurt,MID,1455
Giovanni Reyna,Borussia Dortmund,ATT,1455
Samuel Essende,FC Augsburg,ATT,1455
Grant-Leon Ranos,Borussia Mönchengladbach,ATT,1455
Amadou Haidara,RB Leipzig,MID,1455
Jakub Kaminski,VfL Wolfsburg,ATT,1454
Florian Grillitsch,TSG 1899 Hoffenheim,MID,1453
Kevin Behrens,VfL Wolfsburg,ATT,1453
Gerrit Holtmann,VfL Bochum 1848,ATT,1451
Tiago Tomás,VfL Wolfsburg,ATT,1451
Moritz-Broni Kwarteng,VfL Bochum 1848,MID,1450
Julian Niehues,1. FC Heidenheim 1846,MID,1450
Nikolas Veratschnig,1. FSV Mainz 05,MID,1450
Mats Pannewig,VfL Bochum 1848,MID,1450
Xaver Schlager,RB Leipzig,MID,1450
Dominik Javorcek,Holstein Kiel,DEF,1450
Aster Vranckx,VfL Wolfsburg,MID,1450
Yannik Keitel,VfB Stuttgart,MID,1450
Tidiam Gomis,RB Leipzig,ATT,1450
James Sands,FC St. Pauli,MID,1449
Skelly Alvero,SV Werder Bremen,MID,1449
Robin Gosens,1. FC Union Berlin,MID,1449
Scott Banks,FC St. Pauli,MID,1449
Arne Engels,FC Augsburg,MID,1449
Benjamin Henrichs,RB Leipzig,MID,1449
Robert Wagner,FC St. Pauli,MID,1449
Florian Micheler,TSG 1899 Hoffenheim,MID,1448
Ayman Azhil,Borussia Dortmund,MID,1448
Timo Horn,VfL Bochum 1848,GK,1448
Sven Ulreich,Bayern München,GK,1448
Arne Maier,FC Augsburg,ATT,1448
Marius Müller,VfL Wolfsburg,GK,1448
Frank Feller,1. FC Heidenheim 1846,GK,1448
Florian Müller,Sport-Club Freiburg,GK,1448
Sirlord Conteh,1. FC Heidenheim 1846,ATT,1447
Lucas Tousart,1. FC Union Berlin,MID,1447
Connor Metcalfe,FC St. Pauli,MID,1446
Dennis Geiger,TSG 1899 Hoffenheim,MID,1446
Jeanuël Belocian,Bayer 04 Leverkusen,DEF,1445
Aurèle Amenda,Eintracht Frankfurt,DEF,1445
