ParticipantName,TeamName,Position,ELO
Thomas Delaine,Le Havre,DEF,1446
Christian Mawissa,Monaco,DEF,1446
Facundo Medina,Marseille,DEF,1446
Ali Yousef Musrati,Nantes,DEF,1446
Saël Kumbedi,Lyon,DEF,1446
Moise Bombito,Nice,DEF,1446
Mahamadou Nagida,Rennes,DEF,1446
Kyllian Antonio,Lens,DEF,1446
Mohamed Bamba,Lorient,ATT,1446
Cleo Melieres,Metz,DEF,1446
Pape Sy,Metz,GK,1445
Lionel Mpasi-Nzau,Le Havre,GK,1445
Théo De Percin,Auxerre,GK,1445
Angel Gomes,Marseille,ATT,1445
Patrik Carlgren,Nantes,GK,1445
Maxime Dupé,Nice,GK,1445
Paul Argney,Le Havre,GK,1445
Melvin Zinga,Angers,GK,1445
Issa Soumaré,Le Havre,ATT,1444
Khalis Merah,Lyon,ATT,1444
Elisha Owusu,Auxerre,MID,1443
Rabby Nzingoula,Strasbourg,MID,1442
Alexsandro Ribeiro,Lille,DEF,1441
Christopher Wooh,Rennes,DEF,1441
Hans Hateboer,Lyon,DEF,1441
CJ Egan-Riley,Marseille,DEF,1441
Arnaud Bodart,Lille,GK,1438
Ayyoub Bouaddi,Lille,MID,1437
Emersonn,Toulouse,ATT,1435
Abu Francis,Toulouse,MID,1433
Jordan Teze,Monaco,DEF,1433
Timothée Kolodziejczak,Paris FC,DEF,1431
Fodé Ballo,Metz,DEF,1431
Étienne Youté Kinkoué,Le Havre,DEF,1431
Geoffrey Kondogbia,Marseille,DEF,1431
Chancel Mbemba,Lille,DEF,1431
Yassine Kechta,Le Havre,ATT,1429
Dayann Methalie,Toulouse,MID,1429
Ulisses Garcia,Marseille,DEF,1426
Ludovic Ajorque,Brest,ATT,1425
Florian Sotoca,Lens,ATT,1424
Sadibou Sané,Metz,DEF,1421
Haris Belkebla,Angers,MID,1420
Obed Nkambadio,Paris FC,GK,1415
Calvin Verdonk,Lille,DEF,1411
Morgan Guilavogui,Lens,ATT,1410
Corentin Tolisso,Lyon,ATT,1409
Kevin Carlos,Nice,ATT,1409
Josué Casimir,Auxerre,ATT,1404
Pathé Mboup,Brest,ATT,1403
Danny Namaso,Auxerre,ATT,1397
Abdoulaye Faye,Lorient,DEF,1386
Mbwana Samatta,Le Havre,ATT,1366
