ParticipantName,TeamName,Position,ELO
Ricky-Jade Jones,FC St. Pauli,ATT,1462
Badredine Bouanani,VfB Stuttgart,ATT,1461
Alessio Castro-Montes,1. FC Köln,MID,1460
Benedikt Gimber,1. FC Heidenheim 1846,DEF,1458
Conrad Harder,RB Leipzig,ATT,1458
Budu Zivzivadze,1. FC Heidenheim 1846,ATT,1458
Valentin Gendrey,TSG 1899 Hoffenheim,DEF,1457
Ragnar Ache,1. FC Köln,ATT,1457
Joakim Mæhle,VfL Wolfsburg,DEF,1457
Stanley N'Soki,1. FC Union Berlin,DEF,1457
Kento Shiogai,VfL Wolfsburg,ATT,1456
Nathan Tella,Bayer 04 Leverkusen,ATT,1456
Marco Grüll,SV Werder Bremen,ATT,1456
Kevin Stöger,Borussia Mönchengladbach,ATT,1455
Jonas Meffert,Hamburger SV,MID,1454
Michael Zetterer,Eintracht Frankfurt,GK,1454
Mads Valentin Pedersen,FC Augsburg,MID,1453
Felipe Chavez,Bayern München,MID,1453
Nelson Weiper,1. FSV Mainz 05,ATT,1453
Bakery Jatta,Hamburger SV,MID,1453
Marvin Pieringer,1. FC Heidenheim 1846,ATT,1453
Salih Özcan,Borussia Dortmund,MID,1452
Mathias Rasmussen,FC St. Pauli,MID,1452
Robert Skov,1. FC Union Berlin,MID,1452
Exequiel Palacios,Bayer 04 Leverkusen,MID,1452
Kevin Kampl,RB Leipzig,MID,1451
Benjamin Henrichs,RB Leipzig,MID,1451
Isak Hansen-Aarøen,SV Werder Bremen,MID,1451
Karl Hein,SV Werder Bremen,GK,1451
Skelly Alvero,SV Werder Bremen,MID,1451
Arne Maier,FC Augsburg,MID,1451
Max Finkgrafe,RB Leipzig,MID,1451
David Santos,Bayern München,MID,1451
Nicolas Höfler,Sport-Club Freiburg,MID,1451
Christian Kofane,Bayer 04 Leverkusen,ATT,1451
Bence Dardai,VfL Wolfsburg,MID,1451
Janis Blaswich,Bayer 04 Leverkusen,GK,1451
Yussuf Poulsen,Hamburger SV,ATT,1449
Sebastian Sebulonsen,1. FC Köln,MID,1449
Eliesse Ben Seghir,Bayer 04 Leverkusen,ATT,1449
Oladapo Afolayan,FC St. Pauli,ATT,1448
Livan Burcu,1. FC Union Berlin,ATT,1448
Alexander Røssing,Hamburger SV,ATT,1448
Jonas Wind,VfL Wolfsburg,ATT,1448
Hennes Behrens,1. FC Heidenheim 1846,DEF,1447
Jan Buerger,VfL Wolfsburg,DEF,1447
Jenson Seelt,VfL Wolfsburg,DEF,1447
Guilherme Ramos,Hamburger SV,DEF,1447
Timo Hübers,1. FC Köln,DEF,1447
Warmed Omari,Hamburger SV,DEF,1447
Marvin Friedrich,Borussia Mönchengladbach,DEF,1447
Tomoya Ando,FC St. Pauli,DEF,1447
Leart Paqarada,1. FC Heidenheim 1846,DEF,1447
Kosta Nedeljkovic,RB Leipzig,DEF,1447
Bruno Ogbus,Sport-Club Freiburg,DEF,1447
Elias Baum,Eintracht Frankfurt,DEF,1447
Lukas Klostermann,RB Leipzig,DEF,1447
Leonidas Stergiou,1. FC Heidenheim 1846,DEF,1447
