ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Bazoumana Touré,TSG 1899 Hoffenheim,ATT,0.6,19.7,5.0,6.0,2.0,0.1,23.0,,0.7,2.3,0.17,2.2,0.16,2.9,1.9,,0.15,,0.3,,1.0,1.0,,,,0.5,2.1,2.0,1.0
Ben Bobzien,1. FSV Mainz 05,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Bence Dardai,VfL Wolfsburg,MID,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
Benedict Hollerbach,1. FSV Mainz 05,ATT,0.3,13.6,2.0,3.0,5.0,0.1,4.0,,0.3,1.2,0.13,2.0,0.21,1.3,1.8,,0.1,,0.1,,,1.0,,,,0.6,1.2,1.0,
Benedikt Gimber,1. FC Heidenheim 1846,DEF,2.2,31.9,,1.0,,0.4,1.0,,5.0,0.3,0.03,0.2,0.02,0.0,2.0,,,,0.6,,,,,,,0.1,0.5,,5.0
Benjamin Henrichs,RB Leipzig,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Bernardo,TSG 1899 Hoffenheim,DEF,1.7,37.8,,1.0,,0.5,6.0,,5.2,0.6,0.04,0.2,0.01,,1.8,,,,1.6,1.0,,0.2,,,,,0.3,,6.0
Bilal El Khannouss,VfB Stuttgart,ATT,2.8,41.1,3.0,4.0,1.0,0.2,32.0,,0.3,3.5,0.3,1.5,0.13,2.5,1.0,,0.26,,0.4,,,0.5,,,,0.7,0.9,3.0,2.0
Bruno Ogbus,Sport-Club Freiburg,DEF,,,,,1.0,,,,,0.0,,0.1,,0.2,,,,,,,,,,,,,,,
Budu Zivzivadze,1. FC Heidenheim 1846,ATT,,,,1.0,2.0,,2.0,,,0.1,,1.8,,0.8,,,,,,,,,1.0,,,,,1.0,
Cameron Puertas,SV Werder Bremen,ATT,1.1,29.3,,1.0,,0.2,8.0,,1.3,1.0,0.1,1.0,0.1,0.5,1.7,,,,0.5,1.0,,0.4,,,,0.4,0.5,,3.0
Can Uzun,Eintracht Frankfurt,ATT,1.7,35.4,3.0,4.0,,0.1,13.0,,0.3,2.2,0.25,2.6,0.29,3.9,1.3,,0.67,,0.1,,,0.9,,,,1.1,0.7,6.0,2.0
Carney Chukwuemeka,Borussia Dortmund,ATT,0.3,32.9,,,1.0,,9.0,,0.6,1.5,0.23,1.7,0.26,1.0,0.9,,0.3,,0.9,,,0.4,,,,0.3,2.8,2.0,
Cassiano Kiala,Bayern München,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Castello Lukeba,RB Leipzig,DEF,2.2,62.3,,,,0.9,5.0,,4.8,0.4,0.02,1.0,0.06,1.0,0.5,,0.06,,1.5,,,0.1,,,,0.1,0.9,1.0,1.0
Cedric Zesiger,FC Augsburg,DEF,2.1,39.7,,1.0,1.0,0.9,2.0,,6.6,0.5,0.07,0.3,0.04,0.3,1.0,,,,0.9,1.0,,0.1,,,,0.1,,,4.0
Cenk Özkacar,1. FC Köln,DEF,1.6,46.1,,,1.0,0.7,3.0,,4.8,0.1,0.01,0.4,0.05,0.5,0.6,,,,1.2,,,,,,,0.3,,,
Charles Herrmann,Borussia Mönchengladbach,Code_3,,,1.0,1.0,,,1.0,,,0.2,,,,,,,,,,,,,,,,,,,
Chema Andres,VfB Stuttgart,MID,1.2,44.4,,,1.0,0.8,7.0,,2.9,0.4,0.05,0.8,0.1,1.1,1.3,,0.13,,2.4,1.0,,0.3,,,,0.4,0.1,1.0,1.0
Chris Führich,VfB Stuttgart,ATT,1.1,41.1,3.0,6.0,,,19.0,,0.5,3.8,0.48,0.8,0.1,2.8,0.3,,0.38,,,,,1.1,,,,1.0,1.6,3.0,
Chrislain Matsima,FC Augsburg,DEF,2.4,41.3,1.0,1.0,,1.3,4.0,,6.1,0.4,0.03,0.4,0.03,0.8,0.6,,0.07,,2.1,,,,,,,0.1,0.1,1.0,5.0
Christian Eriksen,VfL Wolfsburg,ATT,1.7,34.7,4.0,5.0,1.0,0.2,27.0,,0.9,2.7,0.2,2.4,0.18,1.3,0.5,,0.07,,0.6,,,0.5,,,,0.4,0.4,1.0,3.0
Christian Günter,Sport-Club Freiburg,DEF,1.8,25.6,2.0,1.0,,0.2,12.0,,1.7,1.6,0.19,0.3,0.04,,0.5,,,,0.5,,,0.4,,,,,,,1.0
Christian Kofane,Bayer 04 Leverkusen,ATT,,12.3,1.0,,6.0,0.1,10.0,,1.6,0.4,0.06,3.6,0.48,3.4,2.4,,0.41,,0.3,,1.0,0.4,,,,1.5,0.8,3.0,3.0
Christoph Baumgartner,RB Leipzig,MID,1.3,24.0,6.0,4.0,9.0,0.2,26.0,,1.5,2.5,0.15,7.4,0.43,6.0,1.9,,0.35,,0.6,,,0.4,,,,1.1,0.5,6.0,5.0
Christopher Trimmel,1. FC Union Berlin,MID,2.4,18.7,2.0,6.0,,0.6,35.0,,3.6,3.5,0.29,0.0,0.0,,1.6,,,,0.5,,,0.2,,,,,0.1,,6.0
Chukwubuike Adamu,Sport-Club Freiburg,ATT,,,1.0,2.0,3.0,,4.0,,,0.2,,1.7,,1.7,,,,,,,,,,,,,,1.0,1.0
Claudio Echeverri,Bayer 04 Leverkusen,ATT,,,,,,,1.0,,,0.4,,0.1,,,,,,,,,,,,,,,,,
Cole Campbell,Borussia Dortmund,ATT,,,,,,,1.0,,,0.2,,0.1,,,,,,,,,,,,,,,,,
Connor Metcalfe,FC St. Pauli,MID,0.7,32.4,1.0,2.0,1.0,,3.0,,0.3,0.8,0.28,0.4,0.15,0.5,2.0,,,,1.0,,,0.3,,,,0.7,1.7,,
Conrad Harder,RB Leipzig,ATT,0.4,13.2,2.0,2.0,4.0,0.1,9.0,,0.3,0.6,0.09,2.2,0.32,1.9,1.7,,0.29,,0.7,,,0.1,,,,1.3,0.3,2.0,3.0
Cyriaque Irie,Sport-Club Freiburg,ATT,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.0
Damion Downs,Hamburger SV,ATT,,,,1.0,1.0,,2.0,,,0.0,,0.5,,0.6,,,,,,,,,,,,,,,
Dan-Axel Zagadou,VfB Stuttgart,DEF,,,,,,,1.0,,,0.1,,0.3,,0.0,,,,,,,1.0,,,,,,,,
Danel Sinani,FC St. Pauli,ATT,1.3,35.6,2.0,3.0,2.0,,24.0,,0.3,2.7,0.23,3.2,0.28,2.6,1.7,,0.26,,0.5,,,0.8,,,,0.8,0.6,3.0,2.0
Daniel Batz,1. FSV Mainz 05,GK,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0
Daniel Elfadli,Hamburger SV,DEF,1.2,46.7,,,,0.6,2.0,,3.9,0.4,0.03,0.1,0.01,0.2,1.3,,,,1.3,1.0,,,1.0,,,0.1,0.2,,2.0
Daniel Heuer Fernandes,Hamburger SV,GK,,39.3,,,,,,5.0,0.9,0.1,0.0,0.3,0.01,,,1.5,,-0.8,,,,0.1,,66.7,3.1,,,,3.0
Daniel Svensson,Borussia Dortmund,MID,0.4,27.4,1.0,2.0,1.0,0.4,17.0,,3.0,3.5,0.21,0.9,0.05,1.5,1.2,,0.06,,0.7,,,0.4,,,,0.1,0.5,1.0,
Danilho Doekhi,1. FC Union Berlin,DEF,2.0,26.8,,,2.0,0.6,6.0,,5.2,1.1,0.06,2.9,0.14,2.6,1.0,,0.2,,1.2,,,0.1,,,,0.2,0.1,4.0,3.0
Danny da Costa,1. FSV Mainz 05,DEF,2.9,30.0,1.0,2.0,2.0,0.6,10.0,,5.8,1.5,0.08,0.7,0.04,1.0,0.9,,0.05,,1.1,,,0.2,,,,0.2,0.4,1.0,3.0
David Raum,RB Leipzig,DEF,3.0,49.3,3.0,11.0,2.0,0.3,60.0,,3.9,6.7,0.34,2.0,0.1,2.3,1.2,,0.15,,1.2,2.0,,0.3,,,,0.3,0.6,3.0,4.0
David Santos,Bayern München,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Dayot Upamecano,Bayern München,DEF,2.6,76.3,1.0,2.0,1.0,0.3,6.0,,2.7,0.7,0.05,1.0,0.07,1.2,0.9,,0.08,,0.8,,,,,,,0.2,0.2,1.0,3.0
Denis Huseinbasic,1. FC Köln,MID,1.8,50.7,,,,0.1,4.0,,1.2,0.3,0.04,0.4,0.06,,1.1,,,,0.4,,,0.3,,,,,0.1,,1.0
Denis Vavro,VfL Wolfsburg,DEF,,,,,,,,,,0.1,,0.3,,0.6,,,,,,1.0,,,,,,,,1.0,1.0
Deniz Undav,VfB Stuttgart,ATT,0.7,16.6,3.0,4.0,9.0,,19.0,,,1.6,0.12,7.9,0.6,10.0,1.5,,0.84,,0.3,1.0,,0.7,,,,2.1,0.2,11.0,3.0
Derrick Köhn,1. FC Union Berlin,MID,1.1,20.5,1.0,3.0,1.0,0.3,14.0,,1.8,2.1,0.17,0.5,0.04,0.3,1.8,,,,0.4,,,0.3,1.0,,,0.2,0.7,,2.0
Derry Scherhant,Sport-Club Freiburg,ATT,0.4,12.3,,,1.0,0.1,9.0,,1.0,1.1,0.16,1.6,0.23,2.2,1.3,,0.58,,0.3,,,0.1,,,,1.2,1.6,4.0,1.0
Diant Ramaj,1. FC Heidenheim 1846,GK,,31.7,,,,,,,1.8,0.1,0.01,,,,0.1,2.3,,-0.4,,1.0,,,,59.8,3.4,,,,1.0
Dimitrios Giannoulis,FC Augsburg,MID,1.4,22.1,3.0,4.0,,0.4,19.0,,3.1,2.5,0.2,0.9,0.07,1.7,0.9,,0.16,,1.1,,,0.6,,,,0.3,1.0,2.0,5.0
Diogo Leite,1. FC Union Berlin,DEF,3.6,31.8,,,2.0,0.4,3.0,,6.2,0.6,0.04,1.1,0.07,0.8,1.3,,,,1.7,,1.0,,,,,0.1,0.3,,2.0
Dominik Kohr,1. FSV Mainz 05,DEF,3.8,34.4,,2.0,2.0,0.7,7.0,,4.7,1.7,0.12,0.9,0.06,0.2,1.4,,0.07,,1.5,,,0.1,2.0,,,0.1,0.2,1.0,5.0
Dominique Heintz,1. FC Köln,DEF,,,,,,,1.0,,,0.1,,,,,,,,,,1.0,,,,,,,,,
Dzenan Pejcinovic,VfL Wolfsburg,ATT,0.9,12.9,,,4.0,0.1,4.0,,1.0,0.2,0.02,4.4,0.51,4.6,1.0,,0.58,,,1.0,,0.5,,,,1.4,0.3,5.0,1.0
Edmond Tapsoba,Bayer 04 Leverkusen,DEF,3.1,81.6,2.0,2.0,1.0,0.7,7.0,,4.0,0.6,0.04,1.2,0.08,2.2,0.8,,0.21,,0.8,,,0.1,,,,0.3,0.3,3.0,3.0
El Chadaille Bitshiabu,RB Leipzig,DEF,,,,,,,1.0,,,0.1,,0.1,,,,,,,,,,,,,,,,,
Elias Baum,Eintracht Frankfurt,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
