ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Arthur Avom,Lorient,MID,2.8,41.2,1.0,3.0,,0.1,20.0,,0.8,2.2,0.15,0.7,0.05,0.0,0.9,,,,1.4,1.0,1.0,0.8,,,,0.1,1.1,,3.0
Arthur Vermeeren,Marseille,MID,1.1,65.1,1.0,,,0.2,5.0,,1.0,0.3,0.04,0.1,0.01,,1.9,,,,1.0,,,0.5,1.0,,,,0.6,,1.0
Assane Dioussé,Auxerre,MID,4.6,58.0,,,,0.9,3.0,,1.4,0.2,0.07,0.1,0.06,0.3,2.7,,,,2.3,,,,,,,0.5,0.5,,2.0
Axel Camblan,Brest,ATT,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
Ayumu Seko,Le Havre,DEF,2.3,26.9,,1.0,1.0,0.1,9.0,,3.7,1.1,0.06,1.0,0.05,0.7,1.0,,,,1.1,,,0.3,,,,0.2,0.1,,3.0
Ayyoub Bouaddi,Lille,MID,1.1,32.4,1.0,2.0,2.0,0.3,16.0,,1.0,1.0,0.07,1.5,0.1,0.7,1.8,,,,1.0,1.0,,0.6,1.0,,,0.3,1.4,,5.0
Badredine Bouanani,Nice,ATT,,,,,,,1.0,,,0.3,,0.1,,,,,,,,,,,,,,,,,
Bahereba Guirassy,Nantes,ATT,0.2,14.1,1.0,2.0,2.0,0.1,5.0,,1.2,0.2,0.03,1.6,0.19,2.7,1.4,,0.25,,0.4,,,0.4,,,,0.6,1.1,2.0,1.0
Bahmed Deuff,Nantes,MID,0.4,17.7,,,,1.2,1.0,,2.4,0.2,0.07,0.2,0.08,0.1,2.4,,,,0.8,,,0.4,,,,0.8,0.8,,1.0
Bamba Dieng,Lorient,ATT,,,1.0,2.0,3.0,,6.0,,,0.0,,2.2,,2.1,,,,,,,,,,,,,,3.0,2.0
Bamo Meité,Lorient,DEF,1.5,35.8,2.0,2.0,1.0,0.8,5.0,,5.4,0.4,0.03,0.6,0.04,0.4,1.3,,,,0.6,2.0,,0.1,,,,0.1,0.5,,3.0
Believe Munongo,Metz,MID,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
Ben Chilwell,Strasbourg,DEF,1.3,38.9,2.0,4.0,,0.3,7.0,,3.0,0.8,0.07,0.0,0.0,0.2,1.0,,,,1.3,,,0.1,,,,0.1,0.6,,3.0
Benjamin André,Lille,MID,2.6,43.6,1.0,1.0,,0.2,15.0,,1.5,1.3,0.09,1.6,0.11,1.5,1.6,,0.13,,1.0,,,1.1,,,,0.2,0.3,2.0,6.0
Benjamin Pavard,Marseille,DEF,1.5,60.7,2.0,3.0,,0.6,8.0,,2.8,0.7,0.06,0.6,0.05,0.9,0.7,,0.09,,1.0,2.0,,0.3,,,,0.3,,1.0,3.0
Benjamin Stambouli,Metz,MID,4.1,38.2,,1.0,,0.5,7.0,,3.0,0.7,0.1,0.2,0.03,0.1,1.4,,,,0.7,,,0.3,,,,0.1,0.5,,
Berke Özer,Lille,GK,,26.6,1.0,,,,2.0,5.0,1.1,0.0,0.0,,,,,1.5,,4.1,,,,,,63.0,2.6,,,,1.0
Bernard Nguene,Nice,ATT,,,,,,,,,,0.0,,0.2,,,,,,,,,,,,,,,,,1.0
Bertug Yildirim,Rennes,ATT,,,,,,,1.0,,,0.4,,,,,,,,,,,,,,,,,,,
Bilal Nadir,Marseille,ATT,1.1,51.8,4.0,3.0,,0.2,8.0,,0.9,1.3,0.25,0.5,0.09,0.5,3.6,,,,0.6,,,0.8,1.0,,,0.2,0.4,,2.0
Billal Brahimi,Nice,ATT,,,,,,,1.0,,,0.1,,,,,,,,,,,,,,,,,,,
Bingourou Kamara,Lorient,GK,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,
Boubacar Traore,Metz,MID,2.0,34.7,,,1.0,0.1,4.0,,1.0,0.3,0.02,0.9,0.07,1.1,1.5,,0.08,,0.6,1.0,,0.2,,,,0.2,1.2,1.0,2.0
Brad-Hamilton Mantsounga,Nice,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Bradley Barcola,Paris Saint-Germain,ATT,1.0,33.0,1.0,5.0,9.0,0.1,22.0,,0.3,2.8,0.25,5.9,0.54,6.8,1.2,,0.64,,0.5,,1.0,1.3,,,,1.9,2.1,7.0,2.0
Bradley Locko,Brest,DEF,1.9,25.2,1.0,2.0,,,7.0,,1.7,0.9,0.08,0.1,0.01,0.5,0.7,,,,0.8,,,0.3,,,,0.1,0.9,,
Branco van den Boomen,Angers,MID,,,,1.0,,,3.0,,,0.3,,0.2,,0.2,,,,,,,,,,,,,,,1.0
Breel Embolo,Rennes,ATT,0.1,12.1,2.0,2.0,2.0,0.2,11.0,,0.7,1.0,0.07,4.0,0.3,4.7,2.3,,0.37,,0.3,,,0.6,,,,0.7,0.7,5.0,2.0
Brendan Chardonnet,Brest,DEF,3.5,40.6,2.0,2.0,1.0,1.5,7.0,,5.8,0.6,0.03,0.5,0.03,0.7,0.9,,,,1.1,,1.0,0.1,,,,0.3,,,3.0
Brian Madjo,Metz,ATT,,,,,,,,,,0.0,,0.3,,0.9,,,,,,,,,,,,,,,
Brice Samba,Rennes,GK,,27.4,,,,,2.0,5.0,0.7,0.0,0.0,,,,,1.6,,-3.1,,,,,,64.4,2.8,,,,3.0
Bryan Okoh,Auxerre,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
CJ Egan-Riley,Marseille,DEF,,,,1.0,,,2.0,,,0.4,,,,,,,,,,,,,1.0,,,,,,
Caio Henrique,Monaco,DEF,1.7,38.3,,3.0,,0.4,12.0,,1.9,2.0,0.14,0.2,0.02,,0.9,,,,0.7,1.0,,0.4,,,,,0.4,,2.0
Calvin Verdonk,Lille,DEF,,,,1.0,,,6.0,,,0.7,,0.0,,,,,,,,,,,1.0,,,,,,2.0
