ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Antonio Blanco,Alavés,MID,3.3,51.3,1.0,1.0,,0.3,11.0,,1.1,0.8,0.04,0.7,0.03,1.1,2.1,,0.05,,1.9,,,0.2,,,,0.5,0.7,1.0,5.0
Antonio Martinez,Alavés,ATT,0.5,12.2,2.0,3.0,7.0,0.1,11.0,,1.3,0.7,0.05,4.6,0.3,3.7,1.3,,0.26,,0.3,,,0.5,,,,1.0,0.7,4.0,
Antonio Raillo,Mallorca,DEF,2.1,40.8,1.0,,1.0,1.4,6.0,,5.1,0.3,0.02,0.4,0.02,0.4,1.1,,,,0.8,2.0,,0.1,,,,0.1,,,2.0
Antonio Rüdiger,Real Madrid,DEF,,,,1.0,,,1.0,,,0.2,,0.1,,,,,,,,,,,,,,,,,
Antonio Sivera,Alavés,GK,,13.3,,,,,,3.0,1.2,0.1,0.0,,,,0.0,1.2,,0.5,,1.0,,,,67.9,2.6,,,,
Antonio Sánchez,Mallorca,MID,1.2,24.3,,2.0,,0.1,5.0,,1.8,0.7,0.08,0.1,0.01,0.0,1.6,,,,0.9,,,0.4,1.0,,,0.1,0.6,,2.0
Antoniu Roca,Espanyol,ATT,,,,,,,2.0,,,0.2,,0.2,,,,,,,,,,,,,,,,,1.0
Antony,Real Betis,ATT,0.8,36.9,4.0,6.0,7.0,0.1,34.0,,0.8,3.2,0.2,4.3,0.28,3.8,0.7,,0.32,,0.8,,,0.6,1.0,,,1.3,1.1,5.0,1.0
Arda Güler,Real Madrid,ATT,2.9,53.2,7.0,10.0,3.0,,54.0,,0.5,5.4,0.35,4.0,0.27,4.2,1.2,,0.2,,0.5,1.0,,0.4,,,,1.0,1.1,3.0,1.0
Aritz Elustondo,Real Sociedad,DEF,,,,,,,,,,0.0,,0.2,,0.1,,,,,,1.0,,,,,,,,,
Arkaitz Mariezkurrena,Real Sociedad,ATT,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Arnau Martinez,Girona,DEF,2.7,42.7,1.0,1.0,,0.3,5.0,,4.9,0.5,0.03,0.6,0.04,0.5,0.9,,0.07,,1.7,,,0.1,,,,0.1,0.5,1.0,5.0
Arnau Tenas,Villarreal,GK,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Arnaut Danjuma,Valencia CF,ATT,1.3,15.9,2.0,4.0,7.0,0.1,11.0,,0.3,2.4,0.16,3.9,0.26,4.1,1.1,,0.2,,,,1.0,0.7,,,,0.8,1.5,3.0,
Arsen Zakharyan,Real Sociedad,ATT,2.6,34.8,,2.0,,,8.0,,0.3,0.8,0.25,0.1,0.04,0.1,1.0,,,,,,,0.6,,,,0.3,,,1.0
Asier Hierro,Athletic Club,Code_3,,,,,,,1.0,,,0.0,,0.1,,,,,,,,,,,,,,,,,
Asier Osambela,Osasuna,DEF,,,,,,,2.0,,,0.1,,0.4,,0.4,,,,,,,,,,,,,,1.0,
Augusto Batalla,Rayo Vallecano,GK,,23.9,,,,,2.0,6.0,0.7,0.1,0.0,,,,,1.4,,-1.8,,,,,,67.4,2.8,,0.1,,4.0
Aurélien Tchouaméni,Real Madrid,MID,1.9,59.6,,4.0,3.0,0.6,16.0,,1.9,2.1,0.12,1.5,0.09,0.1,1.0,,,,1.3,,,0.3,,,,0.2,,,5.0
Axel Witsel,Girona,MID,1.1,44.2,,,3.0,0.1,7.0,,2.3,0.3,0.02,1.5,0.11,1.8,1.4,,0.07,,1.0,,,0.4,1.0,,,0.1,0.1,1.0,
